name,institution,price($),Number of people purchased
Python从小白到大牛：项目实战4：开发Python版QQ2006聊天工具,智捷课堂,198.00,4
python爬虫零基础入门到精通（3）,智锋互联,12.00,4
Python从小白到大牛：项目实战1：网络爬虫与抓取股票数据,智捷课堂,69.00,10
升职加薪：高并发秒杀系统架构分析设计与开发,广州可锐尤软件科技有限责任公司,268.00,0
【云知梦】Python网络爬虫实战,云知梦,49.00,10
Python爬虫网页数据抓取-万和IT教育,万和IT教育,49.90,2
Python快速突击班【VIP体验课】,博为峰网校在线教育,20.00,393
1天搞定Python进阶课程-数据分析库Pandas,覃秉丰,48.00,34
征服Python3-快速突击班——零基础通关精讲,博为峰网校在线教育,798.00,5
Python快速入门,李军,19.90,12
零基础入门学习Python,五四极客,128.00,10
Python全栈开发进阶实战,老男孩IT教育,3598.00,3
少儿编程教师认证班,兄弟连教育,1860.00,0
极客营-Python核心基础-面向对象,极客教育,20.00,8
爬虫从入门到精通（实战教程）,路飞学城,100.00,1
Python量化投资与数字货币实战,金丝雀教育,1599.00,1
【NEXT测试课】爬虫,机构测试号-课堂教研,10.00,0
TensorFlow入门无监督学习,魏俊,188.00,3
跟着王进老师学开发Python篇：基础强化案例讲解,联科教育,199.00,1
Python的高级课程,上海数据分析网,96.00,0
跟着王进老师学开发Python篇：基础语法案例讲解,联科教育,199.00,0
Python3 从零基础到案例，网站爬虫案例项目实战,杰瑞教育,38.00,8
Python3.x全基础+Spider+数据分析库,何路斌,18.00,2
跟着王进老师学Python：通过案例讲时间日期,联科教育,29.00,4
Python全栈开发职业培训（第一阶段）,优效学院,2298.00,0
跟着王进老师学Python：通过案例讲字典(dict)集合,联科教育,29.00,2
Python全栈开发职业培训（第二阶段）,优效学院,2298.00,0
跟着王进老师学Python：通过案例讲循环,联科教育,29.00,4
Python全栈开发职业培训（第八阶段）,优效学院,2298.00,0
跟着王进老师学Python：通过案例讲Tuple元组,联科教育,29.00,3
Python全栈开发职业培训（第四阶段）,优效学院,2298.00,0
跟着王进老师学Python：通过案例讲Set集合,联科教育,29.00,2
Python全栈开发职业培训（第三阶段）,优效学院,2298.00,0
跟着王进老师学Python：通过案例讲运算符,联科教育,29.00,2
Python全栈开发职业培训（第九阶段）,优效学院,2298.00,0
跟着王进老师学Python：通过案例讲条件选择,联科教育,29.00,2
Python全栈开发职业培训（第十阶段）,优效学院,2298.00,0
跟着王进老师学Python：通过案例讲变量,联科教育,29.00,2
Python全栈开发职业培训（第六阶段）,优效学院,2298.00,0
